tvk,code,taxon
NHMSYS0001754666,,Dactylorhiza fuchsii x purpurella = D. x venusta
NHMSYS0000457908,,Dactylorhiza incarnata
NHMSYS0000457914,,Dactylorhiza incarnata subsp. incarnata
NHMSYS0000457917,,Dactylorhiza incarnata subsp. pulchella
NHMSYS0001754660,,Dactylorhiza incarnata x purpurella = D. x latirella
NHMSYS0000457923,,Dactylorhiza maculata
NHMSYS0001754521,,Dactylorhiza maculata x incarnata = D. x carnea
NHMSYS0000457949,,Dactylorhiza praetermissa
NHMSYS0001754665,,Dactylorhiza praetermissa x purpurella = D. x insignis
NHMSYS0000457952,,Dactylorhiza purpurella
NHMSYS0020116813,,Dactylorhiza traunsteinerioides
NBNSYS0000004933,,Dactylorhiza x dufftii
NHMSYS0000457970,,Dactylorhiza x jenensis
NHMSYS0000457978,,Dactylorhiza x silvae-gabretae
NBNSYS0000002500,,Danthonia decumbens
NBNSYS0000003531,,Daphne laureola
NBNSYS0000003530,,Daphne mezereum
NHMSYS0001754536,,Daphne mezereum x laureola = D. x houtteana
NHMSYS0000458002,,Darmera peltata
NBNSYS0000034268,,Datura ferox
NBNSYS0000004044,,Datura stramonium
NBNSYS0000014362,,Daucus carota
NHMSYS0000458012,,Daucus carota subsp. carota
NHMSYS0000458048,,Deschampsia cespitosa
NHMSYS0000458050,,Deschampsia cespitosa subsp. cespitosa
NHMSYS0100001286,,Deschampsia cespitosa subsp. parviflora
NBNSYS0000002623,,Deschampsia flexuosa
NBNSYS0000002916,,Descurainia sophia
NHMSYS0100001289,,Deutzia scabra
NBNSYS0000003006,,Dianthus armeria
NBNSYS0000003007,,Dianthus barbatus
NBNSYS0000003013,,Dianthus deltoides
NBNSYS0000003009,,Dianthus plumarius
NBNSYS0000004094,,Digitalis purpurea
NBNSYS0000002684,,Digitaria sanguinalis
NBNSYS0000002004,,Diphasiastrum alpinum
NBNSYS0000002811,,Diplotaxis muralis
NBNSYS0000002812,,Diplotaxis tenuifolia
NHMSYS0000523214,,Dipsacus fullonum sensu lato
NBNSYS0000004348,,Dipsacus pilosus
NBNSYS0000004400,,Dittrichia graveolens
NBNSYS0000004384,,Doronicum pardalianches
NBNSYS0000004385,,Doronicum plantagineum
NBNSYS0000002865,,Draba incana
NBNSYS0000002866,,Draba muralis
NBNSYS0000003522,,Drosera intermedia
NBNSYS0000003519,,Drosera rotundifolia
NBNSYS0000003365,,Dryas octopetala
NBNSYS0000002070,,Dryopteris aemula
NHMSYS0000458170,,Dryopteris affinis
NHMSYS0000458171,,Dryopteris affinis subsp. affinis
NHMSYS0000458172,,Dryopteris affinis subsp. borreri
NHMSYS0000458183,,Dryopteris carthusiana
NHMSYS0001754654,,Dryopteris carthusiana x dilatata = D. x deweveri
NHMSYS0000458186,,Dryopteris cristata
