code,taxon,tvk
3,Lasioglossum albipes,NHMSYS0000876168
4,Lasioglossum angusticeps,NHMSYS0000876169
3,Lasioglossum brevicorne,NHMSYS0000876173
3,Lasioglossum calceatum,NHMSYS0000876174
3,Lasioglossum cupromicans,NHMSYS0000876175
3,Lasioglossum fratellum,NHMSYS0000876178
3,Lasioglossum fulvicorne,NHMSYS0000876180
5,Lasioglossum laeve,NHMSYS0000876183
3,Lasioglossum laevigatum,NHMSYS0000876184
3,Lasioglossum laticeps,NHMSYS0000876185
3,Lasioglossum leucozonium,NHMSYS0000876186
3,Lasioglossum minutissimum,NHMSYS0000876191
3,Lasioglossum morio,NHMSYS0000876193
3,Lasioglossum nitidiusculum,NHMSYS0000876195
3,Lasioglossum parvulum,NHMSYS0000876198
3,Lasioglossum pauperatum,NHMSYS0000876199
3,Lasioglossum pauxillum,NHMSYS0000876200
3,Lasioglossum prasinum,NHMSYS0000876201
3,Lasioglossum punctatissimum,NHMSYS0000876202
3,Lasioglossum puncticolle,NHMSYS0000876203
4,Lasioglossum quadrinotatum,NHMSYS0000876205
3,Lasioglossum rufitarse,NHMSYS0000876206
3,Lasioglossum semilucens,NHMSYS0000876208
4,Lasioglossum sexnotatum,NHMSYS0000876210
3,Lasioglossum smeathmanellum,NHMSYS0000876212
3,Lasioglossum villosulum,NHMSYS0000876215
3,Lasioglossum xanthopus,NHMSYS0000876217
3,Lasioglossum zonulum,NHMSYS0000876218
3,Lasius brunneus,NHMSYS0000876221
3,Lasius emarginatus,NHMSYS0000876222
3,Lasius flavus,NHMSYS0000876223
3,Lasius fuliginosus,NHMSYS0000876224
4,Lasius meridionalis,NHMSYS0000876225
3,Lasius mixtus,NHMSYS0000876227
4,Lasius umbratus,NHMSYS0000876228
3,Leptothorax acervorum,NHMSYS0000876230
3,Lestiphorus bicinctus,NHMSYS0000876239
3,Lindenius albilabris,NHMSYS0000876241
3,Lindenius panzeri,NHMSYS0000876242
5,Lindenius pygmaeus,NHMSYS0000876243
4,Lonchodryinus ruficornis,NHMSYS0000876271
1,Macropis europaea,NHMSYS0000876276
3,Megachile centuncularis,NHMSYS0000876295
3,Megachile circumcincta,NHMSYS0000876296
5,Megachile lapponica,NHMSYS0000876298
3,Megachile ligniseca,NHMSYS0000876300
3,Megachile maritima,NHMSYS0000876301
3,Megachile versicolor,NHMSYS0000876302
3,Megachile willughbiella,NHMSYS0000876303
3,Melecta albifrons,NHMSYS0000876305
5,Melecta luctuosa,NHMSYS0000876307
3,Melitta dimidiata,NHMSYS0000876311
3,Melitta haemorrhoidalis,NHMSYS0000876312
3,Melitta leporina,NHMSYS0000876313
3,Melitta tricincta,NHMSYS0000876315
1,Mellinus arvensis,NHMSYS0000876318
5,Mellinus crabroneus,NHMSYS0000876319
3,Methocha articulata,NHMSYS0000876326
2,Microdynerus exilis,NHMSYS0000876330
5,Mimesa bicolor,NHMSYS0000876333
3,Mimesa bruxellensis,NHMSYS0000876334
3,Mimesa lutaria,NHMSYS0000876336
3,Mimumesa atratina,NHMSYS0000876339
3,Mimumesa littoralis,NHMSYS0000876342
3,Mimumesa unicolor,NHMSYS0000876343
3,Miscophus ater,NHMSYS0000876345
3,Miscophus bicolor,NHMSYS0000876346
4,Monomorium pharaonis,NHMSYS0000876350
3,Monosapyga clavicornis,NHMSYS0000876352
1,Mutilla europaea,NHMSYS0000876354
3,Myrmecina graminicola,NHMSYS0000876357
4,Myrmica hirsuta,NHMSYS0000876362
4,Myrmica karavajevi,NHMSYS0000876363
4,Myrmica lobicornis,NHMSYS0000876365
3,Myrmica ruginodis,NHMSYS0000876371
4,Myrmica sabuleti,NHMSYS0000876373
4,Myrmica scabrinodis,NHMSYS0000876374
4,Myrmica schencki,NHMSYS0000876375
4,Myrmica specioides,NHMSYS0000876376
3,Myrmica sulcinodis,NHMSYS0000876377
5,Myrmica vandeli,NHMSYS0000876379
3,Myrmosa atra,NHMSYS0000876382
5,Mystrophorus formicaeformis,NHMSYS0000876388
3,Nitela borealis,NHMSYS0000876393
3,Nitela lucens,NHMSYS0000876394
3,Nomada argentata,NHMSYS0000876400
3,Nomada armata,NHMSYS0000876401
3,Nomada baccata,NHMSYS0000876403
3,Nomada conjungens,NHMSYS0000876410
5,Nomada errans,NHMSYS0000876414
2,Nomada fabriciana,NHMSYS0000876415
3,Nomada ferruginata,NHMSYS0000876418
3,Nomada flava,NHMSYS0000876419
3,Nomada flavoguttata,NHMSYS0000876420
3,Nomada flavopicta,NHMSYS0000876421
1,Nomada fucata,NHMSYS0000876422
3,Nomada fulvicornis,NHMSYS0000876423
3,Nomada goodeniana,NHMSYS0000876427
4,Nomada guttulata,NHMSYS0000876428
3,Nomada hirtipes,NHMSYS0000876430
3,Nomada integra,NHMSYS0000876432
3,Nomada lathburiana,NHMSYS0000876435
3,Nomada leucophthalma,NHMSYS0000876436
3,Nomada marshamella,NHMSYS0000876438
3,Nomada obtusifrons,NHMSYS0000876440
