taxon,tvk,km100,km10,coord_system
Rhagio lineola,NBNSYS0000007862,SH,12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98,OSGB
Rhagio lineola,NBNSYS0000007862,SJ,00 03 04 05 06 07 08 10 11 12 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,SK,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 62 63 64 65 66 67 68 69 73 74 75 76 77 78 79 84 85 86 87 88 89 96 97,OSGB
Rhagio lineola,NBNSYS0000007862,SM,80 90,OSGB
Rhagio lineola,NBNSYS0000007862,SN,20 23 30 31 33 40 41 43 50 51 53 58 59 60 61 63 64 65 66 68 69 70 71 72 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,SO,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 71 72 73 74 75 76 77 78 79 80 81 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,SP,00 01 02 03 05 06 07 08 09 11 12 13 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40 41 42 45 47 48 49 50 51 52 54 55 56 57 58 59 60 61 62 63 65 66 68 69 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 90 91 92 93 94 95 96,OSGB
Rhagio lineola,NBNSYS0000007862,SR,89 99,OSGB
Rhagio lineola,NBNSYS0000007862,SS,09 10 11 14 19 20 21 22 30 31 32 38 39 40 41 42 43 44 48 49 50 51 52 53 54 58 59 60 61 62 63 64 68 69 70 71 72 73 74 75 77 78 79 80 81 82 83 84 87 88 89 90 91 92 93 94 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,ST,00 01 02 03 04 06 07 08 09 10 11 12 13 14 16 18 19 20 21 22 23 24 25 26 29 30 31 32 33 34 35 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
