"km100","km10","coord_system","taxon","tvk"
"HZ","16 17 26 27","OSGB","Arctocorisa germari","NHMSYS0000527506"
"","64 74 91 92 93","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NB","00 01 03 10 11 12 13 14 20 21 22 23 24 25 31 32 33 34 35 41 42 43 44 45 46 53 54 55 56 90 91","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NC","00 01 02 03 12 13 14 15 16 21 22 23 24 25 26 27 36 37 40 45 46 50 51 55 56 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95 96","OSGB","Arctocorisa germari","NHMSYS0000527506"
"ND","01 02 03 04 05 06 07 12 13 14 15 16 17 19 23 24 25 26 27 28 29 33 34 35 36 37 38 39 47 48 49","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NF","09 19 60 66 67 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 88 89 95 96 97 98 99","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NG","08 09 13 18 19 29 37 49 78 79 89","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NH","10 15 20 21 22 23 25 30 31 32 33 34 35 41 42 43 44 45 51 52 53 54 55 56 59 62 63 64 65 66 67 68 69 70 73 74 75 76 77 78 79 80 81 82 84 85 86 87 88 89 91 92 93 94 95 96 98","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NJ","00 02 03 04 05 06 10 12 13 14 15 16 17 20 21 22 23 24 25 26 27 30 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95 96","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NK","02 03 04 05 06 13 14 15","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NL","57 58 68 69 79","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NM","16 19 31","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NN","00 01 10 11 12 18 20 22 28 30 31 40 41 50 51 52 53 55 59 60 61 62 63 69 70 71 72 73 76 79 80 81 82 83 84 86 87 88 90 91 92 93 94 95 97 99","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NO","00 01 02 03 04 05 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 63 64 65 66 67 68 69 74 75 76 77 78 79 86 87 88 89 99","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NR","15 16 24 25 26 27 34 35 36 37 38 39 44 46 47 48 49 50 51 56 57 60 61 62 63 64 65 67 70 72 82 83 92 95","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NS","01 03 05 06 10 14 15 16 19 20 21 23 24 25 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NT","00 02 03 04 05 06 07 08 09 13 14 15 16 17 18 19 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 90 91 92 93 94 95 96","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NU","00 01 02 03 04 05 10 11 12 13 14 21 22 23","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NW","95 96 97","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NX","03 04 05 06 07 08 09 13 14 15 16 17 18 19 24 25 26 27 28 30 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 85 86 87 88 89 90 91 92 93 95 96 97 98 99","OSGB","Arctocorisa germari","NHMSYS0000527506"
"NY","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 57 60 61 62 64 66 69 70 71 72 73 74 75 77 78 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 96 97 98 99","OSGB","Arctocorisa germari","NHMSYS0000527506"
