"km100","km10","coord_system","taxon","tvk"
"NT","00 01 06 07 09 10 11 12 13 16 17 20 21 22 25 26 27 28 30 31 32 33 35 36 37 40 41 42 43 44 45 46 47 48 49 51 52 53 54 56 57 58 59 61 62 63 64 65 66 67 68 69 71 72 74 75 76 77 82 83 86 91 92 93","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"NU","03 05 14","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"TL","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 41 42 43 44 45 46 47 48 53 54 55 56 57 58 66 67 69 76 77 78 79 80 81 82 84 87 88 89 90 91 92 93 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"TM","00 01 02 03 05 07 08 09 11 12 13 14 15 17 19 21 22 23 24 25 28 29 33 34 35 38 39 44 45 46 47 48 49 57 58 59","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"TQ","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"TR","01 02 03 04 05 06 07 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37 46 47","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"TV","49 59 69","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"ST","03 04 06 10 11 13 14 16 20 21 22 24 25 26 27 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 48 49 50 51 52 53 54 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SU","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SV","80 81 90 91","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SW","32 33 42 43 44 52 53 54 61 62 63 64 65 71 72 73 74 75 76 81 82 83 84 85 86 87 93 94 95 96 97 98","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SX","03 04 05 06 07 08 09 14 15 16 17 18 19 25 26 27 35 36 37 44 45 46 47 54 55 56 63 64 65 73 74 76 77 83 84 85 86 87 88 95 96 97","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SY","07 08 18 19 28 29 39 48 49 58 59 66 67 68 69 77 78 79 87 88 89 97 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SZ","07 08 09 19 28 29 38 39 47 48 49 57 58 59 68 69 79 89 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SM","50 62 70 71 72 73 80 81 82 83 84 90 91 93 94","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SN","00 01 03 04 10 11 12 14 15 20 21 22 23 24 25 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 54 56 57 58 59 60 61 62 63 68 69 72 73 81 90","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SO","19 29 39 49 50 51 60 61 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 87 90 91 92 93 94 95 96 97 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SP","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 47 48 49 50 51 52 53 54 55 59 60 61 62 63 64 70 71 72 73 76 80 81 82 83 84 85 86 87 88 90 91 92 93 95 96 97 98 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
"SR","89 99","OSGB","Eupelix cuspidata","NHMSYS0020705558"
