code,taxon,tvk
3,Tamarix gallica,NBNSYS0000002980
2,Frankenia laevis,NBNSYS0000002982
3,Elatine hexandra,NBNSYS0000002983
3,Elatine hydropiper,NBNSYS0000002984
2,Silene uniflora,NBNSYS0000002987
3,Silene conica,NBNSYS0000002988
3,Silene gallica,NBNSYS0000002991
2,Silene acaulis,NBNSYS0000002992
3,Silene armeria,NBNSYS0000002993
3,Silene otites,NBNSYS0000002994
3,Silene nutans,NBNSYS0000002995
3,Silene italica,NBNSYS0000002996
2,Silene noctiflora,NBNSYS0000002997
1,Silene dioica,NBNSYS0000002998
3,Agrostemma githago,NBNSYS0000003004
3,Dianthus armeria,NBNSYS0000003006
2,Dianthus barbatus,NBNSYS0000003007
2,Dianthus plumarius,NBNSYS0000003009
3,Dianthus caryophyllus,NBNSYS0000003010
3,Dianthus gallicus,NBNSYS0000003011
2,Dianthus deltoides,NBNSYS0000003013
2,Saponaria officinalis,NBNSYS0000003015
3,Cerastium cerastoides,NBNSYS0000003016
2,Cerastium arvense,NBNSYS0000003017
2,Cerastium tomentosum,NBNSYS0000003018
2,Cerastium alpinum,NBNSYS0000003019
2,Cerastium fontanum,NBNSYS0000003022
2,Cerastium glomeratum,NBNSYS0000003023
3,Cerastium brachypetalum,NBNSYS0000003024
2,Cerastium diffusum,NBNSYS0000003025
3,Cerastium pumilum,NBNSYS0000003026
2,Cerastium semidecandrum,NBNSYS0000003027
2,Myosoton aquaticum,NBNSYS0000003028
2,Stellaria nemorum,NBNSYS0000003029
3,Stellaria nemorum subsp. montana,NBNSYS0000003030
3,Stellaria neglecta,NBNSYS0000003034
1,Stellaria holostea,NBNSYS0000003035
1,Stellaria graminea,NBNSYS0000003037
3,Holosteum umbellatum,NBNSYS0000003039
2,Sagina procumbens,NBNSYS0000003044
2,Sagina nodosa,NBNSYS0000003051
2,Minuartia verna,NBNSYS0000003052
3,Minuartia rubella,NBNSYS0000003053
3,Minuartia stricta,NBNSYS0000003054
2,Minuartia sedoides,NBNSYS0000003056
2,Honckenya peploides,NBNSYS0000003057
2,Moehringia trinervia,NBNSYS0000003058
3,Arenaria ciliata,NBNSYS0000003061
2,Arenaria balearica,NBNSYS0000003064
3,Arenaria montana,NBNSYS0000003065
2,Spergula arvensis,NBNSYS0000003066
3,Spergula morisonii,NBNSYS0000003067
2,Spergularia marina,NBNSYS0000003072
3,Polycarpon tetraphyllum,NBNSYS0000003073
2,Montia fontana,NBNSYS0000003074
3,Montia fontana subsp. amporitana,NBNSYS0000003077
3,Montia fontana subsp. variabilis,NBNSYS0000003078
2,Claytonia perfoliata,NBNSYS0000003079
2,Claytonia sibirica,NBNSYS0000003080
3,Portulaca oleracea,NBNSYS0000003082
2,Amaranthus retroflexus,NBNSYS0000003084
2,Amaranthus hybridus,NBNSYS0000003085
3,Amaranthus albus,NBNSYS0000003086
4,Amaranthus blitum,NBNSYS0000003087
2,Chenopodium bonus-henricus,NBNSYS0000003088
2,Chenopodium polyspermum,NBNSYS0000003089
3,Chenopodium vulvaria,NBNSYS0000003090
3,Chenopodium suecicum,NBNSYS0000003092
4,Chenopodium berlandieri,NBNSYS0000003094
3,Chenopodium murale,NBNSYS0000003099
3,Chenopodium urbicum,NBNSYS0000003100
3,Chenopodium hybridum,NBNSYS0000003101
2,Chenopodium rubrum,NBNSYS0000003102
2,Chenopodium chenopodioides,NBNSYS0000003103
3,Chenopodium glaucum,NBNSYS0000003104
2,Beta vulgaris,NBNSYS0000003106
2,Beta vulgaris subsp. maritima,NBNSYS0000003107
2,Atriplex littoralis,NBNSYS0000003110
2,Atriplex patula,NBNSYS0000003111
2,Atriplex prostrata,NBNSYS0000003112
2,Atriplex glabriuscula,NBNSYS0000003113
2,Atriplex laciniata,NBNSYS0000003114
2,Atriplex hortensis,NBNSYS0000003115
2,Atriplex halimus,NBNSYS0000003116
3,Atriplex longipes,NBNSYS0000003118
2,Atriplex portulacoides,NBNSYS0000003119
3,Atriplex pedunculata,NBNSYS0000003120
2,Suaeda maritima,NBNSYS0000003121
2,Tilia platyphyllos,NBNSYS0000003127
2,Malva moschata,NBNSYS0000003130
1,Malva sylvestris,NBNSYS0000003131
3,Malva nicaeensis,NBNSYS0000003132
2,Malva neglecta,NBNSYS0000003133
3,Malva parviflora,NBNSYS0000003135
4,Malva verticillata,NBNSYS0000003136
3,Althaea officinalis,NBNSYS0000003139
2,Alcea rosea,NBNSYS0000003141
1,Linum usitatissimum,NBNSYS0000003143
3,Linum perenne,NBNSYS0000003144
2,Linum catharticum,NBNSYS0000003145
3,Radiola linoides,NBNSYS0000003146
2,Geranium pratense,NBNSYS0000003147
2,Geranium sylvaticum,NBNSYS0000003148
2,Geranium versicolor,NBNSYS0000003150
2,Geranium nodosum,NBNSYS0000003151
2,Geranium phaeum,NBNSYS0000003152
2,Geranium sanguineum,NBNSYS0000003153
